"cty","Name","Individual_Income_for_Immigrants_rP_gP_pall"
"cty36037","Genesee County, NY",33240
"cty27109","Olmsted County, MN",33236
"cty29161","Phelps County, MO",33234
"cty45045","Greenville County, SC",33226
"cty51177","Spotsylvania County, VA",33200
"cty06113","Yolo County, CA",33188
"cty39155","Trumbull County, OH",33173
"cty02150","Kodiak Island Borough, AK",33164
"cty48177","Gonzales County, TX",33158
"cty42133","York County, PA",33156
"cty39095","Lucas County, OH",33136
"cty17203","Woodford County, IL",33116
"cty40143","Tulsa County, OK",33110
"cty47073","Hawkins County, TN",33083
"cty55027","Dodge County, WI",33080
"cty39025","Clermont County, OH",33076
"cty05113","Polk County, AR",33074
"cty36023","Cortland County, NY",33061
"cty17119","Madison County, IL",33058
"cty06079","San Luis Obispo County, CA",33056
"cty39143","Sandusky County, OH",33038
"cty27103","Nicollet County, MN",33037
"cty21111","Jefferson County, KY",33036
"cty27123","Ramsey County, MN",33032
"cty06083","Santa Barbara County, CA",32976
"cty41011","Coos County, OR",32962
"cty47157","Shelby County, TN",32955
"cty19187","Webster County, IA",32940
"cty26045","Eaton County, MI",32935
"cty51015","Augusta County, VA",32932
"cty34007","Camden County, NJ",32923
"cty39157","Tuscarawas County, OH",32921
"cty36105","Sullivan County, NY",32906
"cty13153","Houston County, GA",32898
"cty48245","Jefferson County, TX",32877
"cty13045","Carroll County, GA",32849
"cty55141","Wood County, WI",32827
"cty23001","Androscoggin County, ME",32821
"cty42047","Elk County, PA",32820
"cty24013","Carroll County, MD",32800
"cty06111","Ventura County, CA",32798
"cty24041","Talbot County, MD",32785
"cty39099","Mahoning County, OH",32771
"cty40133","Seminole County, OK",32769
"cty05125","Saline County, AR",32765
"cty22015","Bossier Parish, LA",32737
"cty39057","Greene County, OH",32734
"cty26021","Berrien County, MI",32721
"cty42049","Erie County, PA",32714
"cty17113","McLean County, IL",32704
"cty48249","Jim Wells County, TX",32693
"cty55059","Kenosha County, WI",32690
"cty31019","Buffalo County, NE",32676
"cty06017","El Dorado County, CA",32673
"cty06037","Los Angeles County, CA",32664
"cty09011","New London County, CT",32663
"cty13177","Lee County, GA",32650
"cty20191","Sumner County, KS",32635
"cty51700","Newport News city, VA",32608
"cty26067","Ionia County, MI",32602
"cty39119","Muskingum County, OH",32596
"cty27141","Sherburne County, MN",32585
"cty18097","Marion County, IN",32576
"cty08099","Prowers County, CO",32557
"cty48495","Winkler County, TX",32535
"cty06033","Lake County, CA",32530
"cty08039","Elbert County, CO",32521
"cty37065","Edgecombe County, NC",32517
"cty39171","Williams County, OH",32515
"cty11001","District of Columbia, DC",32511
"cty22019","Calcasieu Parish, LA",32487
"cty48383","Reagan County, TX",32487
"cty53037","Kittitas County, WA",32471
"cty26139","Ottawa County, MI",32446
"cty18003","Allen County, IN",32444
"cty37171","Surry County, NC",32444
"cty27005","Becker County, MN",32436
"cty38035","Grand Forks County, ND",32419
"cty18157","Tippecanoe County, IN",32402
"cty44007","Providence County, RI",32394
"cty32023","Nye County, NV",32386
"cty38017","Cass County, ND",32381
"cty29095","Jackson County, MO",32378
"cty18091","LaPorte County, IN",32357
"cty54107","Wood County, WV",32346
"cty26027","Cass County, MI",32341
"cty48439","Tarrant County, TX",32332
"cty12119","Sumter County, FL",32321
"cty47011","Bradley County, TN",32321
"cty53011","Clark County, WA",32318
"cty48111","Dallam County, TX",32311
"cty17029","Coles County, IL",32305
"cty39133","Portage County, OH",32299
"cty42077","Lehigh County, PA",32294
"cty21093","Hardin County, KY",32291
"cty17073","Henry County, IL",32274
"cty45079","Richland County, SC",32257
"cty13103","Effingham County, GA",32243
"cty22087","St. Bernard Parish, LA",32233
"cty35045","San Juan County, NM",32219
"cty48037","Bowie County, TX",32215
"cty48339","Montgomery County, TX",32204
"cty39063","Hancock County, OH",32196
"cty36063","Niagara County, NY",32191
"cty48371","Pecos County, TX",32191
"cty37025","Cabarrus County, NC",32187
"cty42121","Venango County, PA",32177
"cty04012","La Paz County, AZ",32176
"cty12073","Leon County, FL",32172
"cty55063","La Crosse County, WI",32165
"cty05063","Independence County, AR",32157
"cty50011","Franklin County, VT",32156
"cty16067","Minidoka County, ID",32155
"cty55035","Eau Claire County, WI",32147
"cty19127","Marshall County, IA",32145
"cty45077","Pickens County, SC",32119
